start_station_name,trip_count,latitude,longitude
Seeley Ave & Garfield Blvd,29,41.794087,-87.675478
Seeley Ave & Roscoe St,3095,41.943403,-87.679618
Shedd Aquarium,23282,41.867225956999995,-87.61535539
Sheffield Ave & Fullerton Ave,16841,41.925601881999995,-87.653708042
Sheffield Ave & Kingsbury St,9504,41.910522,-87.65310600000002
Sheffield Ave & Waveland Ave,13565,41.949399,-87.65452900000003
Sheffield Ave & Webster Ave,11404,41.92154,-87.653818
Sheffield Ave & Wellington Ave,12089,41.936266,-87.652662
Sheffield Ave & Willow St,8936,41.913688,-87.652855
Sheffield Ave & Wrightwood Ave,7634,41.928712,-87.65383299999998
Sheridan Rd & Buena Ave,4716,41.958494,-87.654966
Sheridan Rd & Columbia Ave,200,42.004583,-87.661406
